129,A5A7-43F2C26C43A5,Curso Más alla de la Microscopía petrográfica: técnicas que la complementan,2020,NULL,4
130,A5A7-43F2C26C43A5,Curso Reproducción de suculentas y cactáceas,2020,COCOAA SA de CV México,10
131,9839-3CF62708AA7C,Transitando hacia nuevas modalidades de aprendizaje,2021,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI MEXICO,30
132,A5FA-EAC89503903B,CURSO DE OPERACIÓN Y VUELO DE DRON PARA USO PROFESIONAL,2019,GEODRONES Mexico,8
133,A5FA-EAC89503903B,PUNTOS DE APOYO Y CONTROL TERRESTRE CON GPS DE PRECISIÓN Y ESTACIÓN TOTAL,2019,GEODRONES Mexico,8
134,A5FA-EAC89503903B,Procesamiento Fotogramétrico para generar productos topográficos con drones,2019,Geodrones Mexico,8
135,B579-BDC7A118DF08,Curso software NVIVO para el análisis de datos cualitativos,2016,FACULTAD DE CONTADURIA Y ADMINISTRACION UASLP MÉXICO,40
136,B579-BDC7A118DF08,Curso representación cartográfica de información ambiental  social y económica,2016,UASLP MÉXICO,32
137,B579-BDC7A118DF08,Introducción al uso y representación de información geoespacial,2017,CENTROGEO MÉXICO,30
138,A16C-AFA7E8FEEA6F,IMPARTICIÓN DE CURSOS DE FORMACIÓN DEL CAPITAL HUMANO DE MANERA PRESENCIAL GRUPAL,2020,SEP México,30
139,A16C-AFA7E8FEEA6F,Resolución de conflictos,2020,SEP México,30
140,A16C-AFA7E8FEEA6F,Comunicar para la vida,2020,SEP México,30
141,A16C-AFA7E8FEEA6F,Las relaciones laborales desde una perspectiva de género UnADM - México 2020 30,2020,UnADM México,30
142,8054-94BD7091D401,Curso: Justicia ambiental. Gestión y aplicación de la normativa ambiental,2017,Universidad Autónoma de San Luis Potosí México,36
143,8054-94BD7091D401,Seminario: Escritura de Textos Científicos,2018,Universidad Autónoma de San Luis Potosí México,20
144,8054-94BD7091D401,Taller de Datos Urbanos en México: Proyectos descriptivos a la investigación explicativa,2018,Colegio de México México,5
145,8054-94BD7091D401,Curso-Taller. Movilidad Urbana Sustentable,2017,Universidad Autónoma de San Luis Potosí México,36
146,AB90-245EB7372B3D,"DISCIPLINAR "" EVALUACION EXTERNA Y AUTOEVALUACIÓN MR 2018""",2020,CACEI MEXICO,30
147,AB90-245EB7372B3D,"DISCIPLINAR "" IMPLEMENTACION DE LA NORMA INTERNACIONAL ISO 9001:2015""",2017,CAPACITACIÓN Y DESARROLLO EN SEGURIDAD E HIGIENE  S C. MEXICO,12
148,AECC-3717A5139483,CURSO INTERNACIONAL SOBRE HUMEDALES,2016,UNIVERSIDAD NACIONAL DE SAN MARTÍN ARGENTINA,50
149,AECC-3717A5139483,CURSO INTERNACIONAL SOBRE HERRAMIENTAS PARA EL MANEJO DE CUENCAS HIDROGRÁFICAS,2011,CATIE  COSTA RICA,45
150,BF99-069AB1B1876E,Introducción a la norma ISO 9001-2015,2019,Universidad Autónoma de San Luis Potosí México,12
151,BF99-069AB1B1876E,Manejo de materiales peligrosos y su normativa,2017,Universidad Autónoma de San Luis Potosí México,12
152,9F70-631542E15748,Curso teórico práctico  Uso de MinePlane,2021,Hexagon?s Mining Division México,40
153,9F70-631542E15748,Curso teórico  Derechos humanos y sustancias tóxicas,2020,Centro Peninsular en Humanidades y Ciencias Sociales de la UNAM México,18
154,9F70-631542E15748,Curso teórico Práctico Tratamiento estadístico de los datos geoquímicos aplicado a la exploración minera,2020,ISE-Academy Perú,12
155,9F70-631542E15748,Deep learning,2021,Universidad Anahuac México,20
156,9F70-631542E15748,Curso teórico práctico en línea  L APPRENTISSAGE PROFOND POUR L ANALYSE DES DONNÉES D OBSERVATION DE LA TERRE,2021,Association Québécoise de Télédétection  et  L université de Sherbrooke Canada,8
158,A319-B3099653A086,Prevención y control de infecciones (PCI) causadas por el nuevo coronavirus (COVID-19),2020,Organización Panamericana de la Salud México,1
159,A319-B3099653A086,Precauciones básicas: higiene de manos (COVID-19),2020,Organización Panamericanismos de la Salud México,1
160,A319-B3099653A086,Virus respiratorios emergentes  incluido el COVID-19: métodos de detección  prevención  respuesta y control,2020,Organización Panaméricana de la Salud México,4
161,A319-B3099653A086,Transitando hacia nuevos modelos educativos,2021,Facultad de Ingeniería  Universidad Autónoma de San Luis Potosí México,40
162,9CD4-C3F1E58742DD,Curso Básicos de la inducción a al protección civil,2013,Ayuntamiento México,3
163,9CD4-C3F1E58742DD,Administración de Proyectos con Project,2013,Universidad Autónoma de San Luis Potosí México,30
166,961E-D1D3CBCC7E87,Análisis de Circuitos de Molienda,2020,Servicios Administrativos Peñoles S.A. de C.V. México,30
167,961E-D1D3CBCC7E87,Geología Aplicada a la Minería,2020,Servicios Administrativos Peñoles S.A. de C.V. México,30
168,961E-D1D3CBCC7E87,Topografía Aplicada a Minería,2021,Servicios Administrativos Peñoles S.A. de C.V. México,30
169,A8DF-1E597B3CE75A,REFORMA OUTSOURCING 2021 (SUBCONTRATACIÓN DE PERSONAL),2021,ASOCIACION NACIONAL DE FISCALISTAS.NET AC ESTADOS UNIDOS MEXICANOS,4
170,8B2B-86A0682C7ECD,Curso teórico-práctico: Caracteres morfológicos de plantas del Pérmico al Mesozoico  San Luis Potosí  SOMEXPAL  instructora: Dra. Ma. Patricia Velasco de León.,2017,Universidad Autónoma de San Luis Potosí y Sociedad Mexicana de Paleontología México,20
171,8B2B-86A0682C7ECD,Field trip ?Transect of the Mesozoic Subduction complex south-central Alaska  ,2015,US Geological Survey and Peter Oswald University of Alaska  Anchorage. USA,10
172,96BA-EB25A6DA1F69,?Evaluación de atributos de egreso e instrumentos de medición?,2020,UASLP Mexico,10
173,96BA-EB25A6DA1F69,Transitando hacia nuevas modalidades del aprendizaje,2021,UASLP México,30
174,B2B9-C9CB95F55072,Inclusiones fluidas y la importancia en la geología económica,2016,Universidad Autónoma de San Luis Potosí  Facultad de Ingeniería  Instituto de Geología  SGM México,40
179,8E44-4CD5A2183D30,Curso especializado sobre peligros volcánicos,2018,Universidad Nacional Autónoma de México (Instituto de Geofísica) México,40
180,8E44-4CD5A2183D30,Curso de simulaciones numéricas de Peligros volcánicos,2019,Universidad Nacional Autónoma de México (Instituto de Geofísica) México,40
181,B0BC-B5007BAAE968,"Taller de evaluadores: ""Marco de Referencia de Ingenierías 2018 en el Contexto Internacional""",2018,Consejo de Acreditación de la Enseñanza de la Ingeniería  A.C. México,20
182,B0BC-B5007BAAE968,?Curso Básico y del Sistema Precios Unitarios Neodata versión 2016?.,2016,Neodata  S.A. de C.V. México,30
183,B0BC-B5007BAAE968,Curso de Formación de Auditor Interno para Sistemas de Gestión de Calidad ISO 9001:2008,2015,Dirección Institucional de Gestión de Calidad  UASLP México,16
184,8124-EC5803EE2762,La informática y los sistemas inteligentes en tiempos de pandemia,2021,Club de Inversionistas de Hyenuk Chu México,40
185,8124-EC5803EE2762,Actividades docentes a distancia,2021,Hotmart México,20
186,8124-EC5803EE2762,Tecnologia Digital Aplicada,2020,Hotmart México,40
189,A171-3BA9BB00F6BF,Taller de superación docente acorde al perfil PRODEP,2018,Universidad Autónoma de San Luis Potosí México,30
192,8848-48AE333AF935,Análisis por el Método de los  Elementos Finitos usando Solid Works,2016,Universidad Autónoma de San Luis Potosí México,10
193,B82F-CA42E7A54014,El aprendizaje en los adultos,2021,Fundación Carlos Slim México,30
194,B82F-CA42E7A54014,Ortografía y Redacción,2021,Fundación Carlos Slim México,10
195,B82F-CA42E7A54014,Cómputo Básico,2021,Fundación Carlos Slim México,30
196,B82F-CA42E7A54014,Facilitador de Grupos,2021,Fundación Carlos Slim México,30
